"longitude","latitude","year"
-79.2833333,45.2166667,1901
-84.2386,44.2764,1903
-118.353035,36.5577469,1903
-84.745,44.5152,1904
-89.7484,46.7845,1904
-151.6688889,60.05138889,1905
-109.65,41,1873
-86.4897,46.4278,2021
-61.6708298,56.5458298,1928
-75.8,45.61666667,1929
-125.316667,52.466667,1948
-83.474,45.221,1948
-72.05,45.16666667,1983
-79.87804,44.32194,2004
-151.4027778,60.70277778,1906
-151.2744444,60.3375,1906
-151.2583333,60.55444444,1906
-149.4422222,60.10416667,1906
-150.6076,60.4815,1906
-150.3338889,60.41638889,1906
-132.8536111,57.03138889,1907
-89.5326462,45.9860497,1907
-145.6206893,60.6656106,1908
-148.2375,60.55305556,1908
-83.3972,43.9119,1908
-118.69037,41.66879,1909
-87.7851,45.92,1909
-78.37826,45.69318,1910
-120.4122656,39.4861883,1910
-105.81497,39.065742,1911
-78.41596,45.78852,1911
-118.35854,36.551234,1911
-85.4539,44.0381,1911
-104.7086,40.4233,1911
-116.10306,40.71389,1912
-101.1484,38.9181,1912
-122.5195,41.52124,1912
-106.84278,37.03639,1913
-106.336419,37.013344,1913
-106.29361,40.943797,1913
-150.6098022,60.4809303,1913
-149.5754852,60.3916588,1913
-150.2521515,60.1660881,1913
-119.4982,42.1093,1913
-120.5461667,39.3035,1914
-130.7058333,55.1325,1915
-132.3782806,56.4709015,1915
-119.46825,37.82604,1915
-103.7482,41.9406,1915
-119.42135,37.91206,1915
-119.52754,37.90351,1915
-120.3170725,41.5597091,1916
-118.9833333,37.65,1916
-118.182829,37.488762,1917
-120.29,41.82,1917
-118.20948,37.5414,1917
-121.6280763,41.5986602,1919
-122.5267494,41.7281387,1919
-131.2481,57.9,1919
-111.9687,35.1981,1919
-150.9411111,60.2294444,1919
-79.28333333,45.2166667,1919
-122.48143,37.76957,1920
-120.6846059,41.4204792,1920
-89.4138,46.2162,1920
-89.4186,46.217,1920
-90.3282,46.6069,1920
-100.4435,48.8251,1921
-119.785737,38.828696,1921
-127.4958,55.35,1921
-121.08,45.17,1922
-84.78794,46.98396,1922
-117.1917,45.0083,1922
-121.9947,42.7047,1922
-90.3333333,47.75,1922
-111.5353,35.4125,1922
-73.64444,43.30944,1922
-111.6825,35.3408,1922
-91.4167,47.6333,1922
-120.3561,41.90164,1923
-120.99222,41.4205,1923
-84.3593,45.1342,1923
-100.14202,38.81998,1924
-111.6506,35.1981,1924
-121.5319,40.4147,1924
-119.74,42.45,1924
-79.8333333,44.4333333,1925
-79.5666667,44.0166667,1925
-73.74778,44.13917,1925
-106.4086109,38.8277673,1925
-78.7,45.05,1925
-115.1524353,44.6811066,1925
-120.23207,40.79823,1926
-95.61,48.67,1926
-120.3778808,41.4513243,1926
-84.5,45.5333333,1926
-105.879178,39.663598,1926
-94.87,48.8,1926
-112.2671876,42.87139,1926
-121.2667,53.2667,1927
-81.55,45.1166667,1927
-106.03589,36.46637,1927
-156.0666667,62.9833333,1927
-120.33176,39.02271,1927
-156.5166667,63.1666667,1927
-105.7,41.66667,1928
-106.25138,36.39458,1928
-117.84167,37.76375,1928
-121.21992,40.108033,1928
-109.71822,40.86122,1928
-120.4632,40.5433,1928
-106.188,36.43032,1928
-121.185798,40.037034,1928
-109.76774,40.77336,1928
-120.2625134,39.3228764,1928
-123.75,45.25,1928
-121.5167,53.0667,1929
-95.8006,48.6711,1929
-115.5425,40.57222,1929
-95.5383,48.5834,1929
-114.10722,39.01722,1929
-113.9568,45.8426,1929
-115.71028,40.10139,1929
-115.65998,40.0992,1929
-114.28,38.96917,1929
-93.83507,48.63107,1929
-115.6666667,36.2666667,1929
-111.74,35.23,1929
-121.106,39.5625,1929
-109.84226,40.89556,1929
-114.31667,39.005,1929
-120.9167,53.1833,1929
-115.2166667,36.65,1929
-108.8825,33.38925,1929
-115.48778,41.795,1929
-121.5167,53.4,1929
-119.967499,38.946671,1929
-121.309035,40.374602,1929
-88.633715,44.883871,1929
-88.83094,44.980808,1929
-115.53598,40.07374,1929
-122.1667,53.05,1929
-112.2723,42.9016,1929
-79.6166667,43.9833333,1929
-117.22056,38.94861,1930
-116.86773,44.76624,1930
-116.5781,45.1344,1930
-116.6367,45.0884,1930
-79.8,46.2,1930
-106.188,36.51734,1930
-106.188,36.44482,1930
-89.28001,48.09399,1930
-106.3476,36.828,1930
-106.7673,36.4925,1930
-79.5666667,46.15,1930
-86.2114,46.5392,1930
-81.7,45.2333333,1930
-110.4101,43.99915,1930
-111.7511,35.4133,1930
-112.22,42.64,1930
-118.6325,42.0028,1931
-105.215892,38.4505,1931
-84.07005,46.3993,1931
-160.8647222,63.69027778,1931
-72.31083,43.64917,1931
-133.7,59.5667,1931
-111.84,34.56,1931
-104.984703,39.739154,1931
-109.26083,38.4925,1931
-104.39702,40.871244,1931
-112.468,34.13378,1931
-84.45241,44.43002,1932
-100.5278,39.8183,1932
-84.1903,42.3797,1932
-148.9317,63.7328,1932
-123.00846,40.19019,1932
-88.1361847,42.1973839,1932
-125.3167,52.4667,1932
-115.42361,38.29,1932
-122.494906,52.981737,1932
-105.5887,40.32596,1932
-123.4808944,40.4808574,1932
-71.1525,43.72603,1932
-111.8536,34.5636,1932
-105.5753,40.33621,1932
-111.4202,35.879,1932
-76.9333333,44.7166667,1932
-74.30778,43.32833,1932
-122.3806993,41.4222214,1932
-122.3948615,41.4128083,1933
-91.61039,48.75911,1933
-116.91917,38.69389,1933
-110.4881,36.7278,1933
-116.96317,38.71333,1933
-109.3233,33.6422,1933
-110.3499,36.845,1933
-121.401667,50.883889,1933
-112.22944,38.44944,1933
-108.7942,33.3967,1933
-119.93361,39.19778,1934
-79.6666667,45.4166667,1934
-119.16194,38.81187,1934
-111.3994,47.4963,1934
-114.065,46.2956,1934
-78.7166667,44.4666667,1934
-95.2789,38.892,1934
-98.09959,37.4528,1934
-113.4943,42.3513,1935
-102.9985,42.684,1935
-71.1525,43.69706,1935
-115.26,41.53,1935
-122.8217281,41.8946221,1935
-114.07,41.95,1935
-114.5,41.9,1935
-114.13056,41.09528,1935
-120.457778,50.799167,1935
-83.55719,46.25696,1935
-122.071944,52.116944,1935
-91.9166667,50.1,1935
-121.59278,46.76167,1935
-121.505812,41.7135862,1935
-113.00732,37.58296,1935
-87.51835,48.83545,1936
-86.40251,48.71738,1936
-119.9886652,41.9950057,1936
-160.88,64.83,1936
-113.5306,43.4297,1936
-122.4081998,41.4041541,1936
-119.9861,46.9456,1936
-75.95,44.4333333,1937
-113.1448,46.6676,1937
-91.531219,47.677589,1937
-82.1,47.2833333,1937
-108.1389694,39.1663551,1937
-113.6774,43.5024,1937
-113.5293,43.3391,1937
-111.22,34.59,1937
-117.9638,44.3244,1937
-74.36222,43.49722,1937
-122.0917623,37.1413463,1937
-117.486,39.545,1937
-115.3861,35.1303,1937
-119.43,39.59,1938
-119.25,39.29,1938
-109.30212,38.38004,1938
-109.18226,38.36358,1938
-91.866744,47.903237,1938
-114.3704,46.2476,1938
-121.5351,44.0323,1938
-121.6154,44.0583,1938
-121.63833,46.75333,1938
-106.6063002,36.1677023,1938
-84.4506,45.1795,1938
-120.6496665,41.486814,1939
-112.6,34.5833,1939
-115.6798706,45.8120995,1939
-107.934998,34.905277,1939
-112.71,34.41,1939
-107.963497,34.959678,1939
-107.660755,35.315607,1939
-120.7729,45.6839,1939
-121.7617,46.1136,1939
-79.9333333,44.3333333,1939
-89.2443314,45.9171524,1939
-114.0503,46.1311,1939
-112.468,34.54,1939
-118.82929,39.43261,1939
-74.2896,43.39583,1940
-114.2158,46.7589,1940
-106.7813,46.268,1940
-108.0759964,34.9924002,1940
-119.91298,38.96083,1940
-106.6320038,35.0951987,1940
-107.9367371,39.0666389,1940
-87.601,45.8271,1940
-87.8648,46.8876,1940
-117.79191,39.27786,1940
-119.77472,39.44083,1941
-121.5117619,41.0884763,1941
-121.5193365,41.1017824,1941
-119.96617,41.90407,1941
-107.0603256,39.6496887,1941
-105.487831,37.567661,1941
-106.3086716,37.09305394,1941
-115.2897,46.0449,1941
-106.176171,35.0837707,1941
-104.073256,40.391525,1941
-111.93225,28.89777884,1941
-111.6375,29.04083,1942
-75.65059,42.910202,1942
-118.236849,36.587269,1942
-109.4432,46.3723,1942
-103.8572,43.7383,1942
-84.6003,46.10219,1944
-119.35,50.233333,1944
-117.559379,52.87927,1945
-105.181667,41.415,1945
-118.71194,38.54611,1945
-109.74134,42.92688,1945
-109.83348,42.88966,1945
-104.8212675,38.65987807,1945
-108.2735897,32.7717142,1945
-103.5173,43.8934,1945
-104.04389,39.615,1946
-103.2846,43.9813,1946
-118.3872,46.0494,1946
-132.31049,56.61728,1946
-132.30911,56.6303,1946
-132.3625,56.54027,1946
-78.48025,45.5786,1946
-109.22395,37.6241,1946
-132.445,56.78861,1946
-119.269072,38.468374,1946
-78.5,45.8333333,1946
-119.7794,42.3994,1946
-109.5424,38.6215,1946
-78.87561,45.75781,1946
-119.123454,50.628094,1946
-91.5666667,48.0666667,1946
-105.41687,41.21145,1946
-74.538227,43.980069,1946
-78.08638,44.75512,1946
-108.952017,40.638691,1946
-105.38972,41.23194,1947
-105.56,41.2873,1947
-77.6166667,45.3666667,1947
-118.1192,46.0103,1947
-102.61389,37.610724,1947
-106.0946987,39.22472,1947
-104.654479,47.198491,1947
-103.71512,42.42,1947
-104.0857,44.48512,1947
-133.39911,60.48558,1947
-94.9833333,49.9333333,1947
-143.6361,63.2761,1947
-119.342674,38.377051,1947
-109.60201,40.8528,1947
-110.6899,42.82932,1947
-84.2273,44.5869,1947
-119.226294,38.206285,1947
-79,44.7333333,1947
-107.151184,35.772858,1947
-119.91612,39.11419,1947
-84.71472,44.66139,1948
-121.12136,41.56081,1948
-112.5964,37.49181,1948
-104.754554,31.979276,1948
-110.37453,41.03302,1948
-106.48219,41.32533,1948
-106.52056,41.32533,1948
-110.4129,41.05475,1948
-110.50694,43.84167,1948
-114.6191,46.5684,1948
-87.0369339,41.6631393,1948
-106.9878,38.97118,1948
-121.514224,51.813183,1948
-106.4038399,39.5284338,1948
-119.48944,47.39167,1948
-106.78912,44.33382,1948
-122.8213215,38.1192781,1948
-109.01237,40.24693,1948
-106.3882709,35.0086851,1948
-106.01278,41.11056,1948
-102.991,31.775,1948
-111.414977,41.161314,1949
-110.3958,33.6181,1949
-111.8829,60.0053,1949
-105.87316,42.43376,1949
-105.946056,33.641155,1949
-105.2136,36.411181,1949
-106.6175,40.3996,1949
-119.207396,38.19121,1949
-109.50275,43.16922,1949
-113.59,45.06759,1949
-105.86333,42.45549,1949
-109.39255,43.39187,1949
-117.3122,44.9273,1949
-119.62194,47.68528,1949
-78.11972,41.925,1949
-101.7825,37.15029,1950
-79.83334,43.94661,1950
-134.1666667,59.5,1950
-109.52142,44.26571,1950
-109.90606,44.49743,1950
-110.98023,42.85539,1950
-96.03401,38.54888,1950
-119.74634,37.5369,1950
-106.99905,41.815331,1950
-110.76167,43.01647,1950
-110.40806,43.11614,1950
-88.3364,46.2103,1950
-109.44044,44.25123,1951
-120.51596,40.46328,1951
-120.8756,42.4961,1951
-106.54478,38.15979,1951
-106.50809,38.1453,1951
-135.36947,59.1424,1951
-78.594016,42.115783,1951
-80.05,43.9833333,1951
-106.3194,42.70323,1951
-104.04866,44.17776,1951
-104.06513,44.1495,1951
-121.060574,39.929638,1951
-120.0686111,38.8638889,1951
-104.36565,44.61923,1951
-109.7542,32.6909,1951
-120.7238774,41.4793763,1951
-121.405,42.1989,1952
-106.40889,34.670555,1952
-78.600576,42.109811,1952
-119.643448,37.454845,1952
-74.230422,42.177866,1952
-74.21917,42.21361,1952
-103.5533,42.6848,1952
-93,50.15,1953
-93.1833333,50.5666667,1953
-93.3666667,49.9666667,1953
-93.2166667,50.4333333,1953
-120.6032847,48.7208,1953
-66.78,54.82,1953
-72.61666667,45.1,1953
-75.88333333,46.46666667,1953
-120.9805747,47.1956,1953
-109.186171,33.8840604,1953
-66.25,53,1953
-106.5262984,35.1832999,1953
-91.96026,49.48465,1953
-156.3766667,57.9522222,1954
-149.64028,60.92028,1954
-146,65.5,1954
-105.35371,40.42165,1954
-109.77083,37.89528,1954
-109.17398,46.74402,1954
-110.95661,46.34806,1954
-120.13194,44.62463,1954
-121.93577,42.66848,1954
-105.27,40.015,1954
-109.35823,37.70748,1954
-77.1,45.5333333,1954
-101.45956,36.11996,1954
-101.44165,36.17798,1954
-102.9293,47.4536,1955
-106.8235574,37.4615894,1955
-101.7728,37.11711,1955
-113.857105,35.25606,1955
-120.98281,44.0583,1955
